Date,TSLA,DIS,Mkt-RF,SMB,HML,RF
2011-01-04,0.0018780833138420938,0.03093630682427051,-0.0026,-0.013000000000000001,-0.0002,0.0
2011-01-05,0.005999418703857007,0.024877924126164075,0.006,0.0062,0.0012,0.0
2011-01-06,0.03913531913849955,-0.0077576737564790665,-0.0015,-0.0012,-0.0033,0.0
2011-01-07,0.01291244166982164,-0.0050442074091304745,-0.0021,-0.0026,-0.0021,0.0
2011-01-10,0.0074362904219000825,0.0012673046088862439,-0.0002,0.004699999999999999,-0.0014000000000000002,0.0
2011-01-11,-0.05237292648152814,-0.0025316256759290168,0.0039000000000000003,0.0011,0.0019,0.0
2011-01-12,0.0,-0.005837337396255804,0.0087,-0.0003,0.0021,0.0
2011-01-13,-0.027447877651981645,0.0022975676076475438,-0.0018,0.0013,-0.0033,0.0
2011-01-14,-0.017925039590372838,0.0007640626492970704,0.0069,0.0004,0.006,0.0
2011-01-18,-0.004272297936307123,0.0025451567254288765,0.0018,-0.0001,-0.0053,0.0
2011-01-19,-0.0627922987805779,-0.007615973472930082,-0.0124,-0.013500000000000002,-0.0049,0.0
2011-01-20,-0.058676642941388746,0.0020465880670370584,-0.0029,-0.009300000000000001,0.0058,0.0
2011-01-21,0.018567637160444184,0.0145517897956573,0.0011,-0.0084,0.005600000000000001,0.0
2011-01-24,0.0629342000428097,0.005033007387888366,0.0066,0.0019,-0.0023,0.0
2011-01-25,0.007757924088131141,-0.00200336547636748,0.0002,0.0001,0.0013,0.0
2011-01-26,0.002836461877340879,-0.010536974077397399,0.006,0.013500000000000002,-0.0022,0.0
2011-01-27,0.006868478122891375,0.0005073877591494913,0.0027,-0.0005,0.0036,0.0
2011-01-28,-0.03651643972767182,-0.015458882261120799,-0.018799999999999997,-0.008100000000000001,-0.0007000000000000001,0.0
2011-01-31,0.003748463585715456,0.0005149790772629448,0.0072,0.0002,-0.0029,0.0
2011-02-01,-0.007884060336704302,0.025984273616127096,0.0175,0.0055000000000000005,0.005,0.0
2011-02-02,0.0012546890047229198,0.0152955165173565,-0.0026,-0.001,-0.0037,0.0
2011-02-03,-0.012949221472192907,0.00024706021884757234,0.0026,-0.0001,-0.0003,0.0
2011-02-04,-0.007194027386309587,0.005185121845819651,0.0029,-0.0005,-0.0043,0.0
2011-02-07,-0.016624055443599906,0.005649825204073755,0.006999999999999999,0.0031,0.005600000000000001,0.0
2011-02-08,0.061551988698525184,0.0058621036616701705,0.0048,0.0023,-0.0002,0.0
2011-02-09,-0.05226659583231452,0.05293837495411591,-0.0031,-0.002,-0.0004,0.0
2011-02-10,0.0004310487620542425,-0.001153025092996196,0.0012,0.0032,-0.0034999999999999996,0.0
2011-02-11,0.0012919730485350112,0.0023088145709941887,0.0067,0.0039000000000000003,0.0045000000000000005,0.0
2011-02-14,-0.007311605863005277,-0.003915974226909924,0.003,0.0025,-0.0014000000000000002,0.0
2011-02-15,-0.010398555109312757,-0.0034690845488990485,-0.0038,-0.003,0.0025,0.0
2011-02-16,0.08274949371947526,0.014156488111684462,0.0068000000000000005,0.0039000000000000003,0.0018,0.0
2011-02-17,-0.045693856863991744,0.0,0.0037,0.0034000000000000002,0.0022,0.0
2011-02-18,-0.017796611838969856,-0.0032037570834952955,0.0012,-0.0009,0.0005,0.0
2011-02-22,-0.05651408568861083,-0.020890639298922098,-0.0219,-0.0051,-0.0022,0.0
2011-02-23,-0.0018291840377283597,-0.012192434043291178,-0.0078000000000000005,-0.010700000000000001,0.0039000000000000003,0.0
2011-02-24,0.03206618689148577,0.006883422393703986,0.0004,0.0064,-0.0036,0.0
2011-02-25,0.04793610381970548,0.012493945101275994,0.012199999999999999,0.0097,0.0024,0.0
2011-02-28,0.011859582363053844,0.01839377197917158,0.0042,-0.0040999999999999995,0.0028000000000000004,0.0
2011-03-01,0.002092698951420058,-0.01714674011113182,-0.0158,-0.0029,-0.0005,0.0
2011-03-02,0.0033415201335980083,0.006978207631562983,0.0028000000000000004,0.0027,-0.0025,0.0
2011-03-03,0.014155038857794233,0.01801812137003611,0.0176,0.0046,-0.0005,0.0
2011-03-04,0.024219892992042302,-0.01179947651343538,-0.0067,0.0025,-0.0053,0.0
2011-03-07,-0.00040041427504478033,-0.012169863708848538,-0.0096,-0.006500000000000001,0.0009,0.0
2011-03-08,-0.011227132219467584,0.004184211253245307,0.0097,0.0053,0.0063,0.0
2011-03-09,0.0024330586202234716,-0.0018521858204783026,-0.0018,-0.0021,0.0032,0.0
2011-03-10,-0.02872148181776224,-0.015073888647002653,-0.019299999999999998,-0.0072,-0.003,0.0
2011-03-11,0.002498926073970731,0.01083117071862838,0.0069,-0.0032,0.0013,0.0
2011-03-14,-0.034067502954106654,-0.016072876818956083,-0.0059,0.0008,-0.0039000000000000003,0.0
2011-03-15,-0.012903213897927035,-0.014677767466859226,-0.0105,0.0027,-0.0014000000000000002,0.0
2011-03-16,-0.005664700882070828,-0.02450752534114109,-0.0177,0.0063,-0.0011,0.0
2011-03-17,-0.00043778864313415156,0.0039406145746712085,0.011200000000000002,-0.0076,0.005699999999999999,0.0
2011-03-18,0.006576055603675579,0.01153121422604464,0.0049,0.006,0.0009,0.0
2011-03-21,-0.010017784039379585,0.01430987393884764,0.0158,0.0085,-0.0017000000000000001,0.0
2011-03-22,-0.02375716229393221,-0.009086637058940417,-0.0034000000000000002,-0.0007000000000000001,-0.0005,0.0
2011-03-23,0.0009017252445597812,0.019304973033900552,0.0031,0.0013,-0.004699999999999999,0.0
2011-03-24,0.005402981385562056,0.014678187368518225,0.0096,-0.0019,-0.004,0.0
2011-03-25,0.018808771153771664,0.002566247304302216,0.0040999999999999995,0.0046,-0.0002,0.0
2011-03-28,0.021977760267552826,-0.010472031345613919,-0.0034999999999999996,0.0007000000000000001,-0.0026,0.0
2011-03-29,0.02881742381487884,0.009877269078750972,0.0073,0.0021,-0.0023,0.0
2011-03-30,-0.008779224336392555,0.009548318529386535,0.0079,0.0045000000000000005,0.0007000000000000001,0.0
2011-03-31,0.17039199384355297,-0.005997523211327183,-0.0011,0.005600000000000001,-0.0028000000000000004,0.0
2011-04-01,-0.039279460400768684,-0.005569713518633668,0.0052,-0.0008,0.0021,0.0
2011-04-04,-0.03113261141498458,-0.005134520122397346,0.0009,0.0024,-0.0015,0.0
2011-04-05,0.033681747057133116,-0.004691495478673202,0.0008,0.0048,-0.0026,0.0
2011-04-06,-0.007865134376329852,-0.0037708665834524924,0.002,-0.0014000000000000002,0.005699999999999999,0.0
2011-04-07,0.028312543260618384,-0.005441000838682819,-0.002,-0.0021,-0.002,0.0
2011-04-08,-0.027533013621368174,-0.006660628585550166,-0.004699999999999999,-0.0053,-0.0025,0.0
2011-04-11,-0.046054948866235956,0.0031131514109257186,-0.0039000000000000003,-0.0060999999999999995,-0.0008,0.0
2011-04-12,-0.024535432359909737,-0.0062065561446482675,-0.0084,-0.006500000000000001,0.0006,0.0
2011-04-13,0.01135922124446398,0.001681423592526654,0.0011,0.0007000000000000001,-0.0069,0.0
2011-04-14,0.008423621343082832,-0.016306973255415413,0.0,0.0032,-0.0023,0.0
2011-04-15,0.01750178725025342,0.012189295229958041,0.0044,0.0051,-0.0008,0.0
2011-04-18,-0.021500807039594227,-0.007707237742140771,-0.0115,-0.0039000000000000003,-0.0028000000000000004,0.0
2011-04-19,0.005193390129429654,0.0036407477028999047,0.0051,-0.0034999999999999996,-0.0025,0.0
2011-04-20,0.023450357695457447,0.01668692333115218,0.0146,0.0049,-0.0051,0.0
2011-04-21,0.038446584331722544,0.005470767288085598,0.005600000000000001,0.0032,-0.0006,0.0
2011-04-25,-0.013089391233638725,-0.008043487724756826,-0.0015,-0.0004,-0.0004,0.0
2011-04-26,0.020462307621682774,0.009540056987384249,0.0089,0.0006,-0.0003,0.0
2011-04-27,0.005569991922495854,0.005905614088750344,0.0066,-0.0007000000000000001,-0.0025,0.0
2011-04-28,0.021418188879976707,0.010333637865199918,0.0032,-0.0009,0.0016,0.0
2011-04-29,-0.0021691694907222114,0.0018595234688951745,0.0029,0.002,-0.0003,0.0
2011-05-02,-0.005434777327093299,0.003944448908326903,-0.0028000000000000004,-0.009000000000000001,-0.0016,0.0
2011-05-03,-0.02112955293976937,-0.004622205297648785,-0.005,-0.0092,0.0033,0.0
2011-05-04,-0.006698902426932163,-0.010447921308105346,-0.0074,-0.005699999999999999,-0.0007000000000000001,0.0
2011-05-05,-0.009366461909375401,0.001642054233462975,-0.008199999999999999,0.0046,-0.0034000000000000002,0.0
2011-05-06,0.025718430857923913,0.008667441389915043,0.0045000000000000005,0.0007000000000000001,-0.0013,0.0
2011-05-09,0.029129990413805817,0.0009287434725882004,0.0055000000000000005,0.0066,-0.0048,0.0
2011-05-10,0.01504836560504641,0.01879374554847746,0.0086,0.0068000000000000005,0.0028000000000000004,0.0
2011-05-11,-0.04447580858694289,-0.054429595914796236,-0.0109,-0.0064,-0.0038,0.0
2011-05-12,0.022164732851898794,0.0014449468829835777,0.0052,0.003,-0.004,0.0
2011-05-13,-0.004336834992569538,-0.0014428620239994583,-0.0088,-0.0048,-0.0027,0.0
2011-05-16,-0.034483110004174033,-0.014210139490238083,-0.0077,-0.0097,0.0043,0.0
2011-05-17,-0.024059756134041876,0.0019543676813453814,-0.0011,-0.0037,0.0007000000000000001,0.0
2011-05-18,0.015023122855275073,0.009997678579364067,0.0102,0.0062,-0.0029,0.0
2011-05-19,0.07020851193516608,-0.0009655167393346487,0.0022,-0.0002,-0.0007000000000000001,0.0
2011-05-20,-0.008155817701856694,0.0028997782169550845,-0.0073,0.0003,-0.0015,0.0
2011-05-23,-0.04111568875539329,-0.008192727676027078,-0.0129,-0.0052,0.0002,0.0
2011-05-24,-0.003728757261149185,-0.0017005159290994776,-0.0015,-0.0027,-0.0003,0.0
2011-05-25,0.08458108276677678,0.0009734865473030041,0.0045000000000000005,0.009899999999999999,-0.0034000000000000002,0.0
2011-05-26,0.017253076195034467,-0.003403727562506509,0.0052,0.0067,-0.0012,0.0
2011-05-27,0.002374683436197955,0.01292981143407479,0.0049,0.002,0.0023,0.0
2011-05-31,0.01996592187688906,0.002649282877027037,0.0104,0.0038,-0.0004,0.0
2011-06-01,-0.05374914286168564,-0.02954591231183179,-0.0233,-0.0074,-0.0025,0.0
2011-06-02,0.00841516590732394,-0.008415904938623098,-0.001,-0.0004,0.0014000000000000002,0.0
2011-06-03,0.04763595317138325,-0.016974445685625783,-0.011000000000000001,-0.0049,0.0012,0.0
2011-06-06,-0.04746129358477669,0.0005075976376667235,-0.0118,-0.0036,-0.0026,0.0
2011-06-07,-0.011498298370219762,-0.0012689129934214671,-0.0005,0.0032,-0.0014000000000000002,0.0
2011-06-08,-0.04406046748412651,-0.0030494858007119596,-0.0054,-0.0066,0.0007000000000000001,0.0
